,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Bin_LoanAmount,Normalized_Income,Graduate,Not Graduate
60,LP001205,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,Middle,25.0,1,0
61,LP001206,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1,Middle,27.518175811634027,1,0
62,LP001207,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0,Higher,25.53918557824427,0,1
63,LP001213,1,1,1,0,0,4945,0.0,120.0,360.0,0.0,0,0,Middle,35.16034698349833,1,0
64,LP001222,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0,Middle,32.27227912620985,1,0
65,LP001225,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,Higher,37.83516882478523,1,0
66,LP001228,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,Middle,28.284271247461902,0,1
67,LP001233,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1,Extreme,51.8411033833193,1,0
68,LP001238,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1,Middle,42.13074886588179,0,1
69,LP001241,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0,Middle,32.78719262151,1,0
70,LP001243,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,Higher,28.319604517012593,1,0
71,LP001245,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1,Middle,21.650635094610966,0,1
72,LP001248,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1,Middle,29.58039891549808,1,0
73,LP001250,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,0,Middle,34.478254016118626,0,1
74,LP001253,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1,Higher,36.28360511305347,1,0
75,LP001255,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0,Middle,30.618621784789728,1,0
76,LP001256,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0,Higher,30.618621784789728,1,0
77,LP001259,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0,Middle,15.811388300841896,1,0
78,LP001263,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0,Higher,28.138052526783014,1,0
79,LP001264,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1,1,Middle,28.86607004772212,0,1
80,LP001265,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1,Middle,31.008063467427306,1,0
81,LP001266,1,1,1,0,1,2395,0.0,120.0,360.0,1.0,1,1,Middle,24.469368606484313,1,0
82,LP001267,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0,Higher,18.560711193270585,1,0
83,LP001273,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,0,Higher,38.72983346207417,1,0
84,LP001275,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1,Lower,31.575306807693888,1,0
85,LP001279,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1,Middle,24.320773014030618,1,0
86,LP001280,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,1,Middle,28.86607004772212,0,1
87,LP001282,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1,Middle,25.0,1,0
88,LP001289,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1,Higher,46.27634384866635,1,0
89,LP001310,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1,Higher,37.73261188945181,1,0
90,LP001316,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,1,Middle,27.193749281774295,1,0
91,LP001318,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1,Higher,39.528470752104745,1,0
92,LP001319,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1,Middle,28.605069480775605,0,1
93,LP001322,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1,Middle,32.14420632089086,1,0
94,LP001325,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1,Lower,30.083217912982647,0,1
95,LP001326,1,0,0,0,0,6782,0.0,120.0,360.0,1.0,2,0,Middle,41.176449579826574,1,0
96,LP001327,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1,Middle,24.919871588754223,1,0
97,LP001333,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1,Lower,22.23173407541571,1,0
98,LP001334,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1,Middle,32.357379374726875,0,1
99,LP001343,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,1,Middle,20.97021697551077,1,0
100,LP001345,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1,Middle,32.7414110874898,0,1
101,LP001349,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1,Higher,34.79583308386221,1,0
102,LP001350,1,1,0,0,0,13650,0.0,120.0,360.0,1.0,2,1,Middle,58.41660722773961,1,0
103,LP001356,1,1,0,0,0,4652,3583.0,120.0,360.0,1.0,1,1,Middle,34.10278580995987,1,0
104,LP001357,1,1,0,0,0,3816,754.0,160.0,360.0,1.0,2,1,Higher,30.886890422961002,1,0
105,LP001367,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1,Middle,27.622454633866266,1,0
106,LP001369,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,1,Higher,53.42518132865812,1,0
107,LP001370,1,0,0,1,0,7333,0.0,120.0,360.0,1.0,0,0,Middle,42.81646879414509,0,1
108,LP001379,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0,Higher,30.822070014844883,1,0
109,LP001384,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1,Middle,22.754120505965506,0,1
110,LP001385,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1,Middle,36.45545226711637,1,0
111,LP001387,0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,1,Middle,27.060118255469618,1,0
112,LP001391,1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,0,0,Higher,29.88310559496787,0,1
113,LP001392,0,0,1,0,1,7451,0.0,120.0,360.0,1.0,1,1,Middle,43.159587579123134,1,0
114,LP001398,1,0,0,0,0,5050,0.0,118.0,360.0,1.0,1,1,Middle,35.531676008879735,1,0
115,LP001401,1,1,1,0,0,14583,0.0,185.0,180.0,1.0,0,1,Higher,60.38004637295337,1,0
116,LP001404,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1,Higher,28.138052526783014,1,0
117,LP001405,1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,2,1,Middle,23.526580712037184,1,0
118,LP001421,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0,Higher,37.30951621235526,1,0
119,LP001422,0,0,0,0,0,10408,0.0,259.0,360.0,1.0,2,1,Higher,51.0098029794274,1,0
120,LP001426,1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,0,1,Higher,37.639739637781766,1,0
121,LP001430,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1,Lower,32.27227912620985,1,0
122,LP001431,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1,Middle,23.11384866265244,1,0
123,LP001432,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1,Middle,27.189152248645048,1,0
124,LP001439,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1,Higher,32.78719262151,0,1
125,LP001443,0,0,0,0,0,3692,0.0,93.0,360.0,1.0,0,1,Middle,30.380915061926625,1,0
126,LP001448,1,1,3,0,0,23803,0.0,370.0,360.0,1.0,0,1,Extreme,77.14110447744444,1,0
127,LP001449,1,0,0,0,0,3865,1640.0,120.0,360.0,1.0,0,1,Middle,31.084562084739105,1,0
128,LP001451,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,0,Higher,51.266460771151344,1,0
129,LP001465,1,1,0,0,0,6080,2569.0,182.0,360.0,1.0,0,0,Higher,38.98717737923585,1,0
131,LP001473,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1,Middle,22.438805672316875,1,0
132,LP001478,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1,Middle,26.06722079547415,1,0
133,LP001482,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1,Lower,29.406631905065225,1,0
134,LP001487,1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,1,Middle,34.98213829942361,1,0
135,LP001488,1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,1,0,Higher,31.622776601683793,1,0
136,LP001489,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0,Middle,33.84892908202562,1,0
137,LP001491,1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,1,Middle,28.792360097775937,1,0
138,LP001492,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,0,Higher,61.23520229410531,1,0
139,LP001493,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0,Middle,32.4037034920393,0,1
140,LP001497,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0,Higher,35.503520952153465,1,0
141,LP001498,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1,Higher,36.800135869314396,1,0
142,LP001504,1,0,0,0,1,6950,0.0,175.0,180.0,1.0,1,1,Higher,41.68333000133266,1,0
143,LP001507,1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,1,Middle,25.971137826441105,1,0
144,LP001508,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1,Higher,54.21485036408382,1,0
145,LP001514,0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1,Middle,24.13503677229434,1,0
146,LP001516,0,1,2,0,0,14866,0.0,70.0,360.0,1.0,2,1,Middle,60.96310359553556,1,0
147,LP001518,1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,1,Lower,19.60867155112758,1,0
148,LP001519,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0,Higher,50.0,1,0
149,LP001520,1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1,Middle,34.85685011586675,1,0
150,LP001528,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0,Middle,39.613760235554516,1,0
151,LP001529,1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1,Higher,25.38208029299411,1,0
152,LP001531,1,0,0,0,0,9166,0.0,244.0,360.0,1.0,2,0,Higher,47.86961457960572,1,0
153,LP001532,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0,Middle,23.879907872519105,0,1
154,LP001535,1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1,Lower,28.521921393903323,1,0
156,LP001541,1,1,1,0,0,6000,0.0,160.0,360.0,1.0,0,1,Higher,38.72983346207417,1,0
157,LP001543,1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,1,Higher,48.83134239399937,1,0
158,LP001546,1,0,0,0,0,2980,2083.0,120.0,360.0,1.0,0,1,Middle,27.294688127912362,1,0
159,LP001552,1,1,0,0,0,4583,5625.0,255.0,360.0,1.0,1,1,Higher,33.84892908202562,1,0
160,LP001560,1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,1,Middle,21.581241854907237,0,1
161,LP001562,1,1,0,0,0,7933,0.0,275.0,360.0,1.0,2,0,Higher,44.533695108310965,1,0
162,LP001565,1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,0,Middle,27.789386463180506,1,0
163,LP001570,1,1,2,0,0,4167,1447.0,158.0,360.0,1.0,0,1,Higher,32.27615218702502,1,0
164,LP001572,1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,1,Middle,48.277841708179125,1,0
165,LP001574,1,1,0,0,0,3707,3166.0,182.0,360.0,1.0,0,1,Higher,30.44256887977754,1,0
166,LP001577,0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,0,Middle,33.84892908202562,1,0
167,LP001578,1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0,1,Middle,24.69311644973149,1,0
168,LP001579,1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,0,Middle,23.648467180770936,1,0
169,LP001580,1,1,2,0,0,8000,0.0,200.0,360.0,1.0,1,1,Higher,44.721359549995796,1,0
170,LP001581,1,1,0,1,0,1820,1769.0,95.0,360.0,1.0,0,1,Middle,21.330729007701542,0,1
172,LP001586,1,1,3,1,0,3522,0.0,81.0,180.0,1.0,0,0,Middle,29.67322024991558,0,1
173,LP001594,1,1,0,0,0,5708,5625.0,187.0,360.0,1.0,1,1,Higher,37.77565353504821,1,0
174,LP001603,1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,0,Middle,32.95451410656816,0,1
175,LP001606,1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,1,Middle,29.567718883945037,1,0
176,LP001608,1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,1,Middle,22.610838109190027,1,0
178,LP001616,1,1,1,0,0,3750,0.0,116.0,360.0,1.0,1,1,Middle,30.618621784789728,1,0
179,LP001630,1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,0,Middle,24.150569351466643,0,1
180,LP001633,1,1,1,0,0,6400,7250.0,180.0,360.0,0.0,2,0,Higher,40.0,1,0
181,LP001634,1,0,0,0,0,1916,5063.0,67.0,360.0,1.0,0,0,Middle,21.88606862823929,1,0
182,LP001636,1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,1,Middle,33.91164991562634,1,0
183,LP001637,1,1,1,0,0,33846,0.0,260.0,360.0,1.0,1,0,Higher,91.98641204003991,1,0
184,LP001639,0,1,0,0,0,3625,0.0,108.0,360.0,1.0,1,1,Middle,30.103986446980738,1,0
185,LP001640,1,1,0,0,1,39147,4750.0,120.0,360.0,1.0,1,1,Middle,98.92800412421145,1,0
186,LP001641,1,1,1,0,1,2178,0.0,66.0,300.0,0.0,0,0,Middle,23.33452377915607,1,0
187,LP001643,1,1,0,0,0,2383,2138.0,58.0,360.0,1.0,0,1,Middle,24.407990494917847,1,0
188,LP001644,1,1,0,0,1,674,5296.0,168.0,360.0,1.0,0,1,Higher,12.98075498574717,1,0
189,LP001647,1,1,0,0,0,9328,0.0,188.0,180.0,1.0,0,1,Higher,48.29078587059855,1,0
190,LP001653,1,0,0,1,0,4885,0.0,48.0,360.0,1.0,0,1,Lower,34.9463875100131,0,1
191,LP001656,1,0,0,0,0,12000,0.0,164.0,360.0,1.0,1,0,Higher,54.772255750516614,1,0
192,LP001657,1,1,0,1,0,6033,0.0,160.0,360.0,1.0,2,0,Higher,38.836194458262774,0,1
193,LP001658,1,0,0,0,0,3858,0.0,76.0,360.0,1.0,1,1,Middle,31.056400306539068,1,0
194,LP001664,1,0,0,0,0,4191,0.0,120.0,360.0,1.0,0,1,Middle,32.36896661927903,1,0
195,LP001665,1,1,1,0,0,3125,2583.0,170.0,360.0,1.0,1,0,Higher,27.95084971874737,1,0
196,LP001666,1,0,0,0,0,8333,3750.0,187.0,360.0,1.0,0,1,Higher,45.64263357870578,1,0
197,LP001669,0,0,0,1,0,1907,2365.0,120.0,360.0,1.0,2,1,Middle,21.834605560898048,0,1
198,LP001671,0,1,0,0,0,3416,2816.0,113.0,360.0,1.0,1,1,Middle,29.223278392404914,1,0
199,LP001673,1,0,0,0,1,11000,0.0,83.0,360.0,1.0,2,0,Middle,52.44044240850758,1,0
200,LP001674,1,1,1,1,0,2600,2500.0,90.0,360.0,1.0,1,1,Middle,25.495097567963924,0,1
201,LP001677,1,0,2,0,0,4923,0.0,166.0,360.0,0.0,1,1,Higher,35.082046690579496,1,0
202,LP001682,1,1,3,1,0,3992,0.0,120.0,180.0,1.0,2,0,Middle,31.591137997862628,0,1
203,LP001688,1,1,1,1,0,3500,1083.0,135.0,360.0,1.0,2,1,Middle,29.58039891549808,0,1
204,LP001691,1,1,2,1,0,3917,0.0,124.0,360.0,1.0,1,1,Middle,31.2929704566377,0,1
205,LP001692,0,0,0,1,0,4408,0.0,120.0,360.0,1.0,1,1,Middle,33.19638534539566,0,1
206,LP001693,0,0,0,0,0,3244,0.0,80.0,360.0,1.0,2,1,Middle,28.478061731796284,1,0
207,LP001698,1,0,0,1,0,3975,2531.0,55.0,360.0,1.0,0,1,Middle,31.523800532296228,0,1
208,LP001699,1,0,0,0,0,2479,0.0,59.0,360.0,1.0,2,1,Middle,24.894778569009205,1,0
209,LP001702,1,0,0,0,0,3418,0.0,127.0,360.0,1.0,1,0,Middle,29.231831964486933,1,0
210,LP001708,0,0,0,0,0,10000,0.0,214.0,360.0,1.0,1,0,Higher,50.0,1,0
211,LP001711,1,1,3,0,0,3430,1250.0,128.0,360.0,0.0,1,0,Middle,29.283100928692644,1,0
212,LP001713,1,1,1,0,1,7787,0.0,240.0,360.0,1.0,2,1,Higher,44.121989982320606,1,0
213,LP001715,1,1,3,1,1,5703,0.0,130.0,360.0,1.0,0,1,Middle,37.7591048622713,0,1
214,LP001716,1,1,0,0,0,3173,3021.0,137.0,360.0,1.0,2,1,Middle,28.164694211015323,1,0
215,LP001720,1,1,3,1,0,3850,983.0,100.0,360.0,1.0,1,1,Middle,31.024184114977142,0,1
216,LP001722,1,1,0,0,0,150,1800.0,135.0,360.0,1.0,0,0,Middle,6.123724356957945,1,0
217,LP001726,1,1,0,0,0,3727,1775.0,131.0,360.0,1.0,1,1,Middle,30.52458025919439,1,0
218,LP001732,1,1,2,0,0,5000,0.0,72.0,360.0,0.0,1,0,Middle,35.35533905932738,1,0
219,LP001734,0,1,2,0,0,4283,2383.0,127.0,360.0,1.0,1,1,Middle,32.72231654391235,1,0
220,LP001736,1,1,0,0,0,2221,0.0,60.0,360.0,0.0,2,0,Middle,23.56374333589636,1,0
221,LP001743,1,1,2,0,0,4009,1717.0,116.0,360.0,1.0,1,1,Middle,31.65833223655346,1,0
222,LP001744,1,0,0,0,0,2971,2791.0,144.0,360.0,1.0,1,1,Middle,27.253440149823287,1,0
223,LP001749,1,1,0,0,0,7578,1010.0,175.0,360.0,1.0,1,1,Higher,43.52585438564073,1,0
224,LP001750,1,1,0,0,0,6250,0.0,128.0,360.0,1.0,1,1,Middle,39.528470752104745,1,0
225,LP001751,1,1,0,0,0,3250,0.0,170.0,360.0,1.0,0,0,Higher,28.50438562747845,1,0
226,LP001754,1,1,0,1,1,4735,0.0,138.0,360.0,1.0,2,0,Middle,34.405668137677544,0,1
227,LP001758,1,1,2,0,0,6250,1695.0,210.0,360.0,1.0,1,1,Higher,39.528470752104745,1,0
228,LP001760,1,1,0,0,0,4758,0.0,158.0,480.0,1.0,1,1,Higher,34.489128721961066,1,0
229,LP001761,1,0,0,0,1,6400,0.0,200.0,360.0,1.0,0,1,Higher,40.0,1,0
230,LP001765,1,1,1,0,0,2491,2054.0,104.0,360.0,1.0,1,1,Middle,24.95495942693556,1,0
231,LP001768,1,1,0,0,0,3716,0.0,42.0,180.0,1.0,0,1,Lower,30.479501308256342,1,0
232,LP001770,1,0,0,1,0,3189,2598.0,120.0,360.0,1.0,0,1,Middle,28.235615806991,0,1
233,LP001776,0,0,0,0,0,8333,0.0,280.0,360.0,1.0,1,1,Higher,45.64263357870578,1,0
234,LP001778,1,1,1,0,0,3155,1779.0,140.0,360.0,1.0,1,1,Middle,28.084693339967234,1,0
235,LP001784,1,1,1,0,0,5500,1260.0,170.0,360.0,1.0,0,1,Higher,37.080992435478315,1,0
236,LP001786,1,1,0,0,0,5746,0.0,255.0,360.0,1.0,2,0,Higher,37.90118731649445,1,0
237,LP001788,0,0,0,0,1,3463,0.0,122.0,360.0,1.0,2,1,Middle,29.423629959608995,1,0
238,LP001790,0,0,1,0,0,3812,0.0,112.0,360.0,1.0,0,1,Middle,30.870698080866262,1,0
239,LP001792,1,1,1,0,0,3315,0.0,96.0,360.0,1.0,1,1,Middle,28.788018340969565,1,0
240,LP001798,1,1,2,0,0,5819,5000.0,120.0,360.0,1.0,0,1,Middle,38.141185089087095,1,0
241,LP001800,1,1,1,1,0,2510,1983.0,140.0,180.0,1.0,2,0,Middle,25.0499500997507,0,1
242,LP001806,1,0,0,0,0,2965,5701.0,155.0,60.0,1.0,2,1,Higher,27.225906780123964,1,0
243,LP001807,1,1,2,0,1,6250,1300.0,108.0,360.0,1.0,0,1,Middle,39.528470752104745,1,0
244,LP001811,1,1,0,1,0,3406,4417.0,123.0,360.0,1.0,1,1,Middle,29.180472922829747,0,1
245,LP001813,1,0,0,0,1,6050,4333.0,120.0,180.0,1.0,2,0,Middle,38.890872965260115,1,0
246,LP001814,1,1,2,0,0,9703,0.0,112.0,360.0,1.0,2,1,Middle,49.251903516513956,1,0
247,LP001819,1,1,1,1,0,6608,0.0,137.0,180.0,1.0,2,1,Middle,40.64480286580315,0,1
